,Имя,Число генов,Число геномов,Число генов с Z-DNA в промотере,Максимальный Z-Score,Средний Z-Score
50,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,48,50,19,138924.1,9920.458236842103
51,thioredoxin,53,50,17,13713.99,2337.280217647059
52,30S ribosomal protein S6,44,50,18,17253.57,3287.7972388888893
53,single-stranded DNA-binding protein,51,50,18,4171.37,1208.358411111111
54,chlorite dismutase family protein,46,50,27,198956.2,9168.578525925926
55,adenylosuccinate lyase,47,50,21,138924.1,16865.788509523813
56,low molecular weight phosphotyrosine protein phosphatase,43,50,23,74987.35,5910.9842
57,phage holin family protein,46,50,32,211093.9,16636.515278125004
58,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,35,50,22,38833.58,5497.522131818183
59,3-hydroxyacyl-CoA dehydrogenase,48,50,25,37878.25,5202.913196000001
60,thioesterase family protein,36,50,16,9852.15,1847.2592937500003
61,amino acid ABC transporter ATP-binding protein,58,50,24,302785.5,14995.044725
62,amino acid ABC transporter permease,40,50,11,13713.99,3078.1213000000002
63,cation diffusion facilitator family transporter,56,50,36,27872.66,3291.0632805555556
64,GntR family transcriptional regulator,34,50,15,49376.54,7946.14722
65,CoA-acylating methylmalonate-semialdehyde dehydrogenase,38,50,17,38833.58,5237.884188235295
66,sugar porter family MFS transporter,32,50,20,37878.25,4990.43843
67,sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC,48,50,13,6565.992,1792.0051923076921
68,carbohydrate ABC transporter permease,44,50,19,138924.1,13173.083210526316
69,ATP-binding cassette domain-containing protein,43,50,20,23787.35,5939.149339999999
70,metal ABC transporter permease,41,50,35,37878.25,6320.088345714285
71,transcriptional repressor,46,50,36,50885.97,4502.141177777777
72,LamB/YcsF family protein,44,50,23,28780.5,6108.1403
73,dCTP deaminase,46,50,29,8485.756,1448.8852827586202
74,phenylacetate-CoA oxygenase/reductase subunit PaaK,34,50,13,13713.99,3478.3757384615383
75,3-hydroxybutyryl-CoA dehydrogenase,51,50,39,48804.94,6978.913561538463
76,alpha-ketoacid dehydrogenase subunit beta,55,50,36,8323.257,1705.377236111111
77,quinone oxidoreductase,33,50,20,8922.646,2788.88555
78,alpha/beta hydrolase,40,50,26,8922.646,2083.1891346153843
79,amidohydrolase,28,50,22,138924.1,7973.499977272728
80,histidinol-phosphate transaminase,49,50,30,211093.9,10769.081699999997
81,Lrp/AsnC family transcriptional regulator,33,50,22,138924.1,14223.378254545452
82,tyrosine-protein phosphatase,34,50,20,13713.99,2912.8552350000004
83,ATP-binding cassette domain-containing protein,32,50,11,3917.174,1677.7105272727274
84,ABC transporter permease,32,50,19,28780.5,3307.147205263158
85,cytidine deaminase,40,50,27,21732.38,3326.5365740740735
86,DoxX family protein,36,50,19,8922.646,2245.9920315789473
87,MarR family transcriptional regulator,31,50,16,13713.99,2796.33024375
88,thiamine-binding protein,37,50,23,8922.646,3533.9071695652174
89,potassium-transporting ATPase subunit KdpA,28,50,13,8922.646,2291.0317692307694
90,potassium-transporting ATPase subunit KdpB,25,50,11,13713.99,2647.402845454546
91,"1,4-dihydroxy-2-naphthoyl-CoA synthase",48,50,30,302785.5,15890.311313333334
92,AMP-binding protein,46,50,30,138924.1,6799.2419366666645
93,"1,4-dihydroxy-2-naphthoate polyprenyltransferase",46,50,35,211093.9,7938.906008571426
94,glutaredoxin-like protein NrdH,43,50,16,17718.99,4258.2203375
95,class 1b ribonucleoside-diphosphate reductase subunit beta,42,50,15,49376.54,4728.20018
96,histidine kinase,31,50,19,27872.66,4392.94055263158
97,DUF3817 domain-containing protein,40,50,23,138924.1,8253.096786956521
98,acetyl-CoA C-acetyltransferase,41,50,27,68804.91,6330.8635814814825
99,CoA transferase subunit A,46,50,20,211093.9,14170.16433
100,ATP-dependent chaperone ClpB,45,50,20,29467.88,2706.25769
101,helix-turn-helix domain-containing protein,40,50,27,9300.843,1539.3577370370363
102,methylated-DNA--[protein]-cysteine S-methyltransferase,48,50,24,13713.99,2502.551091666666
103,molecular chaperone DnaK,47,50,25,27872.66,2656.7997280000004
104,nucleotide exchange factor GrpE,45,50,13,4615.4,2024.6283000000003
105,uracil phosphoribosyltransferase,46,50,32,7973.084,1828.947490625
106,glutaredoxin family protein,45,50,36,138924.1,12256.605663888888
107,asparaginase,36,50,10,46858.52,6504.92753
108,XRE family transcriptional regulator,38,50,28,27872.66,4176.893775
109,NAD(P)/FAD-dependent oxidoreductase,40,50,22,37878.25,4674.232886363637
110,TlpA family protein disulfide reductase,54,50,23,29467.88,6439.27279130435
111,demethylmenaquinone methyltransferase,47,50,34,13939.35,2273.381282352942
112,response regulator transcription factor,55,50,42,211093.9,16005.566402380953
113,NAD-dependent deacetylase,45,50,33,65884.11,7072.243830303029
114,gamma-glutamyltransferase,38,50,24,138924.1,9861.76915
115,HAD-IIA family hydrolase,36,50,24,211093.9,14507.40183333333
116,serine--tRNA ligase,46,50,31,28780.5,5643.3371290322575
117,LLM class flavin-dependent oxidoreductase,46,50,31,29467.88,3583.6769129032264
118,ATP-grasp domain-containing protein,48,50,27,29467.88,4551.733400000001
119,thioredoxin,42,50,15,13713.99,2081.7426800000007
120,ABC transporter ATP-binding protein,56,50,35,38833.58,5509.077888571429
121,3-methyl-2-oxobutanoate hydroxymethyltransferase,40,50,32,65884.11,5151.629156249998
122,serine hydroxymethyltransferase,54,50,23,198956.2,15113.091095652175
123,VTT domain-containing protein,38,50,21,28780.5,3816.920085714285
124,metal-sensitive transcriptional regulator,48,50,27,8485.756,2450.697751851852
125,glucosamine-6-phosphate deaminase,33,50,20,13713.99,3183.8819900000003
126,50S ribosomal protein L10,47,50,25,66470.78,10977.634832
127,50S ribosomal protein L7/L12,45,50,13,13713.99,2827.371607692308
128,ABC transporter ATP-binding protein/permease,46,50,22,8922.646,1641.753759090909
129,phosphate acetyltransferase,32,50,19,38833.58,4343.491384210527
130,acetate kinase,38,50,22,3428.529,1279.597804545455
131,recombination mediator RecR,47,50,27,3713.33,1487.4930851851848
132,aspartate kinase,45,50,24,13713.99,2514.2682208333335
133,aspartate-semialdehyde dehydrogenase,46,50,34,27872.66,3849.8603911764712
134,metallophosphoesterase,45,50,23,38833.58,3565.6556739130438
135,DUF4177 domain-containing protein,45,50,20,302785.5,30492.626195000008
136,RidA family protein,47,50,21,3428.529,1305.4706285714287
137,acetate--CoA ligase,43,50,23,50885.97,3425.108030434784
138,phosphoribosylformylglycinamidine synthase subunit PurQ,47,50,39,138924.1,6428.575658974359
139,AMP-binding protein,26,50,20,50885.97,8001.63723
140,VOC family protein,31,50,14,17253.57,3957.907907142857
141,sterol carrier family protein,47,50,29,13713.99,2702.751772413793
142,amidophosphoribosyltransferase,46,50,20,66470.78,8982.01635
143,phosphoribosylformylglycinamidine cyclo-ligase,46,50,30,28780.5,3266.39116
144,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",41,50,27,138924.1,7955.569092592593
145,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,42,50,23,66470.78,8541.419899999999
146,response regulator transcription factor,47,50,13,38833.58,6134.753646153847
147,phosphate signaling complex protein PhoU,43,50,26,50885.97,5008.904684615385
148,cysteine--tRNA ligase,47,50,26,198956.2,15278.424203846154
149,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,47,50,27,28780.5,4804.270418518519
150,heavy-metal-associated domain-containing protein,39,50,15,8922.646,2342.18866
151,YlxR family protein,45,50,31,38833.58,5852.04946451613
152,VOC family protein,33,50,17,28780.5,3640.9540941176474
153,helix-turn-helix transcriptional regulator,35,50,26,138924.1,15835.308746153847
154,30S ribosome-binding factor RbfA,46,50,29,50885.97,5823.522951724137
155,A/G-specific adenine glycosylase,47,50,24,38833.58,9368.2312625
156,AI-2E family transporter,38,50,27,37878.25,3552.8090259259257
157,threonine ammonia-lyase,55,50,34,28780.5,4776.69051764706
158,transcription elongation factor GreA,46,50,19,8485.756,1862.9231368421051
159,hemolysin III family protein,48,50,27,16271.57,3474.852229629629
160,isoprenyl transferase,47,50,28,13939.35,2744.7912714285717
161,nucleosidase,26,50,15,28780.5,4513.883746666668
162,Hsp20/alpha crystallin family protein,41,50,12,3713.33,1742.559991666667
163,argininosuccinate lyase,47,50,23,16739.64,4451.431313043479
164,cytosine permease,33,50,8,5351.021,2878.280625
165,HAD-IIA family hydrolase,43,50,9,4263.555,1917.947311111111
166,TlyA family RNA methyltransferase,47,50,36,65884.11,5206.7831166666665
167,DNA repair protein RecN,46,50,20,211093.9,18743.709155000004
168,AI-2E family transporter,30,50,16,9721.919,2496.6086124999997
169,NUDIX hydrolase,47,50,29,8485.756,2428.827779310345
170,site-specific tyrosine recombinase XerD,45,50,29,29467.88,5042.538055172415
171,tyrosine recombinase XerC,44,50,28,49376.54,6690.328339285714
172,ParA family protein,47,50,25,38833.58,5436.594048000002
173,segregation/condensation protein A,43,50,29,13713.99,3096.000620689654
174,(d)CMP kinase,43,50,32,37878.25,4400.794093750002
175,ribonuclease E activity regulator RraA,28,50,10,13713.99,2362.6655400000004
176,Cys-tRNA(Pro) deacylase,34,50,25,65884.11,5607.865315999999
177,glutaminase A,36,50,14,198956.2,20427.487492857144
178,TIGR01777 family oxidoreductase,52,50,32,138924.1,9009.034524999997
179,MMPL family transporter,50,50,26,18180.95,3440.417250000001
180,CsbD family protein,35,50,11,3428.529,1135.9566545454547
181,carbon-nitrogen hydrolase family protein,50,50,33,68804.91,9418.46004848485
182,phosphatase PAP2 family protein,26,50,18,38833.58,4684.3919000000005
183,DNA-directed RNA polymerase subunit beta,47,50,28,28780.5,4046.9791678571432
184,elongation factor G,47,50,6,3428.529,1159.6958166666666
185,elongation factor Tu,44,50,21,29467.88,2424.281900000001
186,50S ribosomal protein L4,45,50,13,13713.99,6922.52476153846
187,50S ribosomal protein L23,43,50,22,1469.169,902.5659863636366
188,50S ribosomal protein L16,43,50,21,3993.322,1489.2459952380955
189,50S ribosomal protein L24,44,50,15,2779.551,1241.4416733333337
190,50S ribosomal protein L5,46,50,23,21732.38,3613.0455086956536
191,50S ribosomal protein L6,47,50,9,2640.374,935.5716222222222
192,30S ribosomal protein S5,46,50,17,3428.529,1124.0259588235294
193,50S ribosomal protein L15,46,50,16,8922.646,2174.8899625000004
194,preprotein translocase subunit SecY,47,50,9,49376.54,7310.590711111111
195,DNA-directed RNA polymerase subunit alpha,47,50,7,2997.09,1094.699057142857
196,50S ribosomal protein L17,45,50,14,13713.99,1935.4317428571433
197,50S ribosomal protein L13,46,50,34,198956.2,11826.380002941181
198,30S ribosomal protein S9,47,50,29,9721.919,2114.7315379310344
199,phosphoglucosamine mutase,46,50,28,211093.9,11051.89642142857
200,glutamine--fructose-6-phosphate transaminase (isomerizing),47,50,29,211093.9,13194.30287586207
201,holo-ACP synthase,42,50,22,28780.5,5338.922431818182
202,ribosomal protein S18-alanine N-acetyltransferase,46,50,28,28780.5,5378.115985714286
203,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,46,50,31,10272.33,2414.4276290322587
204,class I SAM-dependent methyltransferase,45,50,25,27872.66,4557.886232000001
205,co-chaperone GroES,43,50,12,2752.447,1285.6688166666665
206,EamA family transporter RarD,43,50,27,10616.46,2027.8067037037033
207,IMP dehydrogenase,46,50,20,38833.58,5921.185085
208,GuaB3 family IMP dehydrogenase-related protein,47,50,39,302785.5,44439.77377692307
209,DUF3817 domain-containing protein,45,50,26,13713.99,3308.3864730769233
210,glutamine-hydrolyzing GMP synthase,47,50,41,29467.88,7576.978753658537
211,Bax inhibitor-1/YccA family protein,46,50,21,211093.9,11589.474419047621
212,glycerophosphodiester phosphodiesterase,42,50,20,138924.1,8924.818180000002
213,ABC transporter ATP-binding protein,38,50,18,13713.99,2314.2032055555555
214,ABC transporter ATP-binding protein,30,50,14,38833.58,7499.462471428573
215,BCCT family transporter,38,50,12,4263.555,1720.262216666667
216,formyltetrahydrofolate deformylase,49,50,25,10272.33,2084.2080240000005
217,glutathione-dependent formaldehyde dehydrogenase,26,50,17,12351.13,4080.6727352941184
218,zinc-dependent alcohol dehydrogenase family protein,34,50,28,21732.38,2945.6164392857145
219,phosphoribosylglycinamide formyltransferase,43,50,31,198956.2,7963.328000000002
220,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,45,50,33,38833.58,4131.497239393941
221,hypothetical protein,43,50,21,6090.891,1647.1827523809525
222,DEAD/DEAH box helicase,50,50,38,38833.58,5568.482589473685
223,ABC transporter permease,37,50,25,13713.99,3973.629224
224,ABC transporter permease,30,50,16,3428.529,1544.65526875
225,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,42,50,29,13713.99,2740.221355172414
226,sodium:proton antiporter,37,50,17,8922.646,1956.8939823529415
227,DEAD/DEAH box helicase,46,50,23,74987.35,7267.212552173914
228,deoxyribose-phosphate aldolase,42,50,19,17253.57,4030.3335789473686
229,helix-turn-helix transcriptional regulator,51,50,31,29467.88,4951.366961290323
230,amino acid permease,34,50,12,27872.66,4230.484716666667
231,large conductance mechanosensitive channel protein MscL,46,50,12,9492.083,2590.3285666666666
232,GuaB1 family IMP dehydrogenase-related protein,39,50,23,27872.66,3426.2064000000005
233,3-isopropylmalate dehydrogenase,47,50,20,13713.99,2604.31074
234,branched-chain amino acid aminotransferase,47,50,27,13713.99,2695.841066666667
235,fumarylacetoacetate hydrolase family protein,47,50,29,13713.99,2315.142693103448
236,glutamate--cysteine ligase,47,50,29,28780.5,2872.717444827586
237,glutamate--cysteine ligase,26,50,17,38833.58,6150.619329411764
238,transcriptional regulator,30,50,25,198956.2,14026.841192
239,DUF779 domain-containing protein,28,50,13,9852.15,2804.5014846153845
240,MFS transporter,26,50,16,68804.91,10879.225131250001
241,glutamate--tRNA ligase,46,50,38,65884.11,5382.901157894738
242,Na+/H+ antiporter subunit A,40,50,22,27872.66,3148.4171499999998
243,Na(+)/H(+) antiporter subunit C,39,50,26,13713.99,3051.4083076923075
244,FHA domain-containing protein,45,50,21,28780.5,3483.747533333334
245,MerR family transcriptional regulator,44,50,18,16271.57,3882.0483388888897
246,long-chain fatty acid--CoA ligase,68,50,36,211093.9,13987.056833333334
247,DUF3040 domain-containing protein,47,50,31,13713.99,2198.551032258065
248,division/cell wall cluster transcriptional repressor MraZ,46,50,12,3738.179,1732.1367333333335
249,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,47,50,24,28780.5,3035.1881458333337
250,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",46,50,26,28780.5,2734.012384615385
251,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,46,50,23,198956.2,16410.15222608696
252,phospho-N-acetylmuramoyl-pentapeptide-transferase,49,50,15,37878.25,5474.417826666669
253,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,47,50,27,138924.1,9510.31201851852
254,putative lipid II flippase FtsW,50,50,35,38833.58,5639.371660000002
255,UDP-N-acetylmuramate--L-alanine ligase,47,50,36,138924.1,9719.126583333333
256,cell division protein FtsZ,46,50,6,2779.551,1830.1634333333334
257,YggS family pyridoxal phosphate-dependent enzyme,51,50,36,198956.2,9472.065744444446
258,cell division protein SepF,46,50,18,46858.52,4737.361794444445
259,YggT family protein,46,50,24,13713.99,2697.1846
260,DivIVA domain-containing protein,40,50,13,3661.11,1569.912130769231
261,RluA family pseudouridine synthase,46,50,30,211093.9,29237.85061333334
262,energy-dependent translational throttle protein EttA,46,50,32,38833.58,6696.954793750001
263,acyl-CoA thioesterase,66,50,50,198956.2,7159.937212000002
264,acyl-CoA thioesterase II,53,50,36,10894.72,3196.878552777778
265,DNA-directed RNA polymerase subunit omega,44,50,27,38833.58,9427.071737037037
266,methionine adenosyltransferase,47,50,15,13713.99,3181.64692
267,methionyl-tRNA formyltransferase,46,50,28,38833.58,4399.338210714287
268,rRNA small subunit methyltransferase B,45,50,40,138924.1,5723.8002725
269,ribulose-phosphate 3-epimerase,46,50,26,198956.2,10453.532784615389
270,phosphoribosyl-ATP diphosphatase,47,50,36,211093.9,10469.88635277778
271,ATP phosphoribosyltransferase,46,50,18,10616.46,1694.892366666667
272,phosphoribosyl-AMP cyclohydrolase,47,50,24,49376.54,7174.848070833334
273,anthranilate synthase component I,42,50,30,38833.58,6329.869246666668
274,tryptophan synthase subunit alpha,46,50,25,2659.79,1114.9195120000002
275,prolipoprotein diacylglyceryl transferase,44,50,31,49376.54,7704.685677419356
276,pyruvate kinase,50,50,25,13939.35,2231.15298
277,SulP family inorganic anion transporter,37,50,20,28780.5,3083.71479
278,30S ribosomal protein S1,43,50,18,28780.5,4870.889305555556
279,50S ribosomal protein L21,45,50,32,37878.25,4867.337678125001
280,RecQ family ATP-dependent DNA helicase,39,50,22,13713.99,3564.37365
281,CrcB family protein,34,50,24,13713.99,2586.7071041666663
282,FAD-binding protein,49,50,25,13713.99,2094.988968
283,tRNA glutamyl-Q(34) synthetase GluQRS,30,50,12,13713.99,2339.929983333333
284,metal ABC transporter ATP-binding protein,31,50,15,38833.58,4110.436686666667
285,metal ABC transporter substrate-binding protein,48,50,30,198956.2,12440.538503333337
286,undecaprenyl-diphosphate phosphatase,47,50,27,46858.52,5448.383496296296
287,cysteine--1-D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase,40,50,13,38833.58,5008.982592307692
288,HAD family phosphatase,48,50,19,9492.083,2154.016084210526
289,WYL domain-containing protein,46,50,21,138924.1,15270.82221904762
290,WYL domain-containing protein,46,50,37,27872.66,2874.959154054055
291,dihydrofolate reductase family protein,42,50,23,27872.66,3478.856213043478
292,RNA polymerase-binding protein RbpA,46,50,17,3428.529,1500.2747294117648
293,glutamate synthase subunit beta,45,50,33,68804.91,6709.2256272727245
294,transcriptional regulator NrdR,46,50,32,13713.99,2611.02895625
295,quinone-dependent dihydroorotate dehydrogenase,47,50,32,38833.58,7273.228987499998
296,DUF3043 domain-containing protein,47,50,26,302785.5,15138.40046923077
297,cytochrome c oxidase subunit 4,45,50,15,3512.018,1408.8184400000002
298,magnesium and cobalt transport protein CorA,48,50,34,211093.9,8243.204576470584
299,ubiquinol-cytochrome c reductase iron-sulfur subunit,44,50,12,28780.5,3207.4141416666666
300,RNA methyltransferase,46,50,20,28780.5,4257.91538
301,3'-5' exonuclease,24,50,16,3993.322,1771.3119375
302,ABC transporter ATP-binding protein,46,50,19,8485.756,2326.0523105263164
303,phosphoserine phosphatase SerB,38,50,25,48804.94,5551.330544000001
304,isocitrate lyase/phosphoenolpyruvate mutase family protein,28,50,17,7973.084,2039.982029411765
305,beta-ketoacyl-ACP reductase,40,50,20,4831.423,1426.8366550000007
306,Fe-S cluster assembly ATPase SufC,47,50,16,2883.764,1265.587225
307,non-heme iron oxygenase ferredoxin subunit,33,50,18,13713.99,3888.2672833333327
308,Fe-S cluster assembly protein SufD,46,50,31,49376.54,5376.489674193549
309,Fe-S cluster assembly protein SufB,46,50,18,48804.94,4371.08495
310,heme o synthase,45,50,33,49376.54,4933.796354545455
311,transaldolase,44,50,20,13713.99,2240.367845
312,preprotein translocase subunit SecG,47,50,6,13713.99,4715.598033333333
313,phosphoglycerate kinase,47,50,17,10272.33,3635.1027705882357
314,superoxide dismutase,46,50,14,94590.41,15087.582471428574
315,DNA-binding protein WhiA,45,50,20,38833.58,4266.98915
316,excinuclease ABC subunit UvrC,43,50,25,65884.11,5521.971740000001
317,excinuclease ABC subunit UvrB,47,50,32,38833.58,4182.731575
318,serine hydrolase,40,50,22,13713.99,1933.5972136363634
319,winged helix DNA-binding domain-containing protein,38,50,33,27872.66,2699.36190909091
320,nucleoside-diphosphate kinase,47,50,29,13713.99,3138.757510344829
321,bifunctional folylpolyglutamate synthase/dihydrofolate synthase,47,50,29,138924.1,14298.134427586205
322,isoleucine--tRNA ligase,46,50,22,198956.2,12008.644531818183
323,ATP-dependent Clp protease ATP-binding subunit ClpX,46,50,23,10894.72,1944.0887739130437
324,ATP-dependent Clp protease proteolytic subunit,47,50,22,17253.57,2728.79925
325,ATP-dependent Clp protease proteolytic subunit,46,50,25,48804.94,4533.470143999999
326,tRNA dihydrouridine synthase DusB,46,50,25,38833.58,4214.255628
327,isoprenyl transferase,47,50,27,13713.99,2692.139144444445
328,DNA repair protein RecO,47,50,38,28780.5,2544.2947289473695
329,crossover junction endodeoxyribonuclease RuvC,46,50,36,65884.11,6904.306286111112
330,YebC/PmpR family DNA-binding transcriptional regulator,46,50,17,13713.99,2724.332947058824
331,threonine--tRNA ligase,45,50,22,13713.99,2454.15925
332,SDR family oxidoreductase,31,50,20,17253.57,3232.847489999999
333,DUF3000 domain-containing protein,46,50,40,48804.94,3343.7829625
334,HRDC domain-containing protein,47,50,25,38833.58,2523.3462200000004
335,thiolase family protein,32,50,25,18247.98,2871.341584
336,3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein,49,50,27,50885.97,6621.415488888888
337,1-deoxy-D-xylulose-5-phosphate synthase,47,50,24,28780.5,3310.010733333333
338,aconitate hydratase AcnA,47,50,16,38833.58,7363.0824437500005
339,DUF3093 domain-containing protein,47,50,18,50885.97,5777.414227777777
340,DUF4193 domain-containing protein,46,50,19,66470.78,5763.3611684210555
341,alkaline phosphatase family protein,39,50,20,13713.99,2308.09748
342,dihydrolipoyl dehydrogenase,64,50,39,13713.99,2590.4586384615386
343,"2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase",41,50,19,21732.38,4208.330405263158
344,DUF4191 domain-containing protein,46,50,29,38833.58,3880.956727586209
345,RDD family protein,45,50,23,13713.99,2505.2343826086963
346,bifunctional [glutamine synthetase] adenylyltransferase/[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase,46,50,23,13713.99,4561.117395652174
347,type I glutamate--ammonia ligase,45,50,29,29467.88,5009.912986206897
348,type I methionyl aminopeptidase,39,50,21,12723.6,2455.664714285714
349,C4-type zinc ribbon domain-containing protein,47,50,30,66470.78,4142.5426099999995
350,ABC transporter permease,37,50,15,38833.58,4646.1681266666665
351,MetQ/NlpA family ABC transporter substrate-binding protein,41,50,18,29467.88,5022.823316666666
352,glutathione peroxidase,30,50,16,17253.57,5439.83560625
353,PadR family transcriptional regulator,42,50,30,13713.99,2099.710833333333
354,dihydrofolate reductase family protein,38,50,18,16770.32,2319.444294444444
355,peroxiredoxin,33,50,22,46858.52,4651.638918181819
356,helix-turn-helix domain-containing protein,41,50,21,29467.88,3788.3175523809527
357,ACP S-malonyltransferase,40,50,13,28780.5,5287.789553846154
358,ketoacyl-ACP synthase III,39,50,24,68804.91,9745.753
359,DNA starvation/stationary phase protection protein,51,50,29,48804.94,6115.950162068967
360,guanylate kinase,46,50,32,13713.99,3034.033053125
361,orotidine-5'-phosphate decarboxylase,47,50,38,18180.95,4549.987284210527
362,carbamoyl-phosphate synthase large subunit,45,50,12,8922.646,2278.984633333334
363,dihydroorotase,46,50,36,29467.88,4432.946666666667
364,aspartate carbamoyltransferase catalytic subunit,46,50,22,138924.1,12028.87472727273
365,bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR,46,50,32,27872.66,4187.066378125
366,transcription antitermination factor NusB,47,50,41,38833.58,2912.217207317073
367,3-dehydroquinate synthase,47,50,29,38833.58,5407.145372413795
368,Holliday junction resolvase RuvX,46,50,28,13713.99,2154.5456499999996
369,HAMP domain-containing histidine kinase,48,50,33,37878.25,2693.6138606060604
370,30S ribosomal protein S4,46,50,18,4831.423,1769.7030333333332
371,"bifunctional (p)ppGpp synthetase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",46,50,36,28780.5,3633.5799194444457
372,protein translocase subunit SecD,46,50,21,211093.9,16863.318580952382
373,Holliday junction branch migration DNA helicase RuvB,46,50,24,65884.11,6229.750116666666
374,Holliday junction branch migration protein RuvA,46,50,33,13713.99,2588.8940000000002
375,GTPase Era,45,50,24,37878.25,2854.7736499999996
376,rRNA maturation RNase YbeY,47,50,29,49376.54,4323.9476241379325
377,PhoH family protein,45,50,28,198956.2,11696.864832142854
378,HIT domain-containing protein,47,50,26,6565.992,1887.1354230769225
